STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
01,AL,00000,1,850050.0000,481840.0000,115070.0000,240450.0000,479900.0000,1401930.0000,548630.0000,24840.0000,16660.0000,8180.0000,11004990.000,850050.0000,11187657.000,682860.0000,8746419.0000,95140.0000,64688.0000,43950.0000,72642.0000,38880.0000,46689.0000,13400.0000,5825.0000,145420.0000,810441.0000,35870.0000,38739.0000,37300.0000,223749.0000,107590.0000,1047421.0000,8170.0000,33740.0000,97553.0000,36220.0000,64407.0000,8600.0000,7880.0000,151350.0000,182667.0000,2760.0000,613.0000,50.0000,119.0000,8530.0000,30882.0000,2440.0000,5935.0000,19660.0000,17306.0000,5640.0000,16681.0000,40.0000,4.0000,50060.0000,697858.0000,784033.0000,21090.0000,20029.0000,22230.0000,17571.0000,25080.0000,21675.0000,48360.0000,72527.0000,23280.0000,124980.0000,37870.0000,102592.0000,328640.0000,1830923.0000,327060.0000,194554.0000,0.0000,0.0000,7910.0000,2898.0000,106200.0000,36418.0000,2470.0000,66.0000,8490.0000,2768.0000,32980.0000,16979.0000,32000.0000,5460.0000,31350.0000,9543.0000,2240.0000,604.0000,116380.0000,153768.0000,24900.0000,84425.0000,25060.0000,83442.0000,56250.0000,6175.0000,787080.0000,2241625.0000,390640.0000,1169025.0000,361400.0000,1050890.0000,251070.0000,319709.0000,80750.0000,77190.0000,12390.0000,6237.0000,252000.0000,157928.0000,389850.0000,324575.0000,0.0000,0.0000,0.0000,0.0000,62690.0000,47433.0000,744910.0000,1964826.0000
01,AL,00000,2,491370.0000,200750.0000,150290.0000,125560.0000,281350.0000,1016010.0000,375670.0000,10850.0000,7080.0000,3780.0000,17658446.000,491370.0000,17836190.000,425830.0000,14494884.000,92610.0000,69421.0000,41040.0000,96100.0000,36250.0000,64683.0000,51450.0000,27881.0000,62500.0000,250528.0000,31950.0000,75029.0000,34210.0000,317668.0000,101020.0000,1791833.0000,8600.0000,18180.0000,52682.0000,88200.0000,560917.0000,10430.0000,52953.0000,94650.0000,177744.0000,11500.0000,2756.0000,160.0000,739.0000,6810.0000,32249.0000,6180.0000,20701.0000,37140.0000,39070.0000,2050.0000,5249.0000,70.0000,45.0000,106170.0000,1595160.0000,4041356.0000,77320.0000,129793.0000,23420.0000,28761.0000,69770.0000,56079.0000,104850.0000,240950.0000,64890.0000,349299.0000,88100.0000,331671.0000,470700.0000,8618302.0000,468560.0000,1043771.0000,0.0000,0.0000,6830.0000,4778.0000,215720.0000,192756.0000,5920.0000,265.0000,28430.0000,16078.0000,45700.0000,47932.0000,67530.0000,12516.0000,122540.0000,108415.0000,10560.0000,4749.0000,37790.0000,80221.0000,10870.0000,34145.0000,11810.0000,38398.0000,33560.0000,6324.0000,480490.0000,2034491.0000,134550.0000,272098.0000,112880.0000,232001.0000,103680.0000,154145.0000,37240.0000,34513.0000,3410.0000,2665.0000,368090.0000,850897.0000,397110.0000,950446.0000,0.0000,0.0000,0.0000,0.0000,70780.0000,101969.0000,413790.0000,1177400.0000
01,AL,00000,3,259540.0000,75820.0000,142970.0000,34070.0000,156720.0000,589190.0000,186770.0000,3170.0000,1680.0000,1490.0000,15963943.000,259540.0000,16117661.000,223910.0000,12316371.000,82760.0000,69005.0000,39530.0000,123290.0000,35530.0000,85619.0000,62280.0000,40993.0000,39640.0000,253529.0000,31650.0000,108577.0000,28200.0000,360311.0000,72620.0000,1757156.0000,7680.0000,8900.0000,27490.0000,60570.0000,882812.0000,10610.0000,97042.0000,68600.0000,153718.0000,8950.0000,2229.0000,160.0000,1192.0000,4810.0000,27104.0000,4850.0000,19580.0000,27650.0000,29802.0000,2070.0000,4611.0000,100.0000,115.0000,100170.0000,1713071.0000,6212309.0000,81280.0000,206019.0000,15880.0000,23310.0000,80080.0000,72769.0000,99890.0000,329474.0000,73950.0000,442924.0000,85970.0000,386048.0000,258400.0000,10205184.000,257860.0000,1404518.0000,110.0000,76.0000,2010.0000,3392.0000,114100.0000,168113.0000,8040.0000,515.0000,18010.0000,9554.0000,24340.0000,31082.0000,17950.0000,2792.0000,76950.0000,116151.0000,8970.0000,3975.0000,26800.0000,65138.0000,1720.0000,5212.0000,2660.0000,9160.0000,7470.0000,2734.0000,255980.0000,1736742.0000,660.0000,138.0000,410.0000,71.0000,10670.0000,14029.0000,18570.0000,17072.0000,360.0000,460.0000,246400.0000,1236058.0000,250230.0000,1319641.0000,0.0000,0.0000,0.0000,0.0000,62170.0000,132373.0000,192050.0000,538160.0000
01,AL,00000,4,164840.0000,26730.0000,125410.0000,10390.0000,99750.0000,423300.0000,133020.0000,1260.0000,700.0000,560.0000,14294375.000,164840.0000,14422811.000,143710.0000,10817987.000,69880.0000,62269.0000,35700.0000,126688.0000,32500.0000,90127.0000,57000.0000,43748.0000,28060.0000,232026.0000,28920.0000,139040.0000,22560.0000,378333.0000,52890.0000,1584142.0000,6130.0000,5060.0000,16508.0000,40540.0000,793454.0000,9960.0000,116234.0000,49710.0000,128436.0000,8540.0000,2312.0000,240.0000,1949.0000,3530.0000,21584.0000,3760.0000,17523.0000,19190.0000,21700.0000,640.0000,1216.0000,140.0000,206.0000,82040.0000,1587508.0000,7161929.0000,70090.0000,242031.0000,9930.0000,17481.0000,72620.0000,76413.0000,81940.0000,361954.0000,67010.0000,458211.0000,73330.0000,390545.0000,164610.0000,10045399.000,164300.0000,1452758.0000,270.0000,322.0000,650.0000,1555.0000,76400.0000,129131.0000,7960.0000,693.0000,15460.0000,8450.0000,17800.0000,23168.0000,0.0000,0.0000,54560.0000,90111.0000,6020.0000,2195.0000,19600.0000,54016.0000,200.0000,426.0000,750.0000,2206.0000,2100.0000,1206.0000,163320.0000,1658063.0000,0.0000,0.0000,0.0000,0.0000,740.0000,938.0000,12980.0000,11946.0000,40.0000,41.0000,163100.0000,1323173.0000,163580.0000,1394913.0000,0.0000,0.0000,0.0000,0.0000,45120.0000,124048.0000,115470.0000,375882.0000
01,AL,00000,5,203650.0000,18990.0000,177070.0000,5860.0000,122670.0000,565930.0000,185150.0000,1260.0000,900.0000,360.0000,27387096.000,203650.0000,27664725.000,181410.0000,20155298.000,113360.0000,141176.0000,69620.0000,368076.0000,64740.0000,274484.0000,107690.0000,111331.0000,38850.0000,571411.0000,59170.0000,547842.0000,32290.0000,825820.0000,69810.0000,2690393.0000,8720.0000,4820.0000,17488.0000,45910.0000,1038902.0000,24330.0000,644799.0000,71940.0000,277629.0000,12650.0000,3343.0000,1250.0000,18046.0000,7320.0000,56851.0000,5530.0000,29992.0000,22020.0000,23255.0000,4460.0000,9213.0000,640.0000,2413.0000,145150.0000,3395412.0000,20015351.000,132030.0000,706154.0000,11030.0000,25051.0000,135670.0000,196303.0000,145060.0000,982577.0000,123290.0000,998836.0000,134550.0000,910154.0000,203500.0000,21014718.000,203230.0000,3631329.0000,2270.0000,5243.0000,390.0000,1369.0000,92860.0000,126604.0000,19520.0000,5371.0000,20550.0000,11284.0000,22740.0000,31720.0000,0.0000,0.0000,46520.0000,63034.0000,7940.0000,2660.0000,28990.0000,113649.0000,0.0000,0.0000,450.0000,1574.0000,1360.0000,1325.0000,201900.0000,3756035.0000,0.0000,0.0000,0.0000,0.0000,90.0000,120.0000,20660.0000,19605.0000,0.0000,0.0000,202820.0000,3501461.0000,203050.0000,3655700.0000,610.0000,135.0000,270.0000,66.0000,81180.0000,387298.0000,114380.0000,448442.0000
01,AL,00000,6,51270.0000,4160.0000,45860.0000,910.0000,39250.0000,148020.0000,50820.0000,80.0000,80.0000,0.0000,22652783.000,51270.0000,23073614.000,44660.0000,11051815.000,40610.0000,264670.0000,32640.0000,791136.0000,31530.0000,620013.0000,29090.0000,96411.0000,13720.0000,855431.0000,31500.0000,2331256.0000,9340.0000,444369.0000,14820.0000,833058.0000,2630.0000,520.0000,1842.0000,11220.0000,292923.0000,22620.0000,4633716.0000,22380.0000,420831.0000,1080.0000,267.0000,2770.0000,86011.0000,8520.0000,92498.0000,1140.0000,10827.0000,0.0000,0.0000,0.0000,0.0000,1660.0000,61679.0000,47840.0000,2499208.0000,21437993.000,45930.0000,761404.0000,1440.0000,4867.0000,45630.0000,168515.0000,47820.0000,962132.0000,36310.0000,456194.0000,45490.0000,920293.0000,51240.0000,19692443.000,51230.0000,5274998.0000,15590.0000,77387.0000,50.0000,171.0000,21020.0000,54852.0000,15290.0000,25542.0000,3230.0000,1747.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1410.0000,459.0000,14770.0000,124954.0000,0.0000,0.0000,50.0000,183.0000,250.0000,698.0000,50690.0000,5185930.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51170.0000,5204318.0000,51230.0000,5472274.0000,19090.0000,33930.0000,25450.0000,89886.0000,28340.0000,774418.0000,15560.0000,243494.0000
01,AL,35004,1,1510.0000,970.0000,230.0000,270.0000,740.0000,2130.0000,660.0000,50.0000,50.0000,0.0000,19419.0000,1510.0000,19780.0000,1170.0000,14552.0000,200.0000,134.0000,80.0000,141.0000,80.0000,95.0000,50.0000,16.0000,210.0000,1641.0000,60.0000,37.0000,120.0000,731.0000,210.0000,1970.0000,0.0000,60.0000,160.0000,90.0000,152.0000,0.0000,0.0000,250.0000,361.0000,0.0000,0.0000,0.0000,0.0000,40.0000,168.0000,20.0000,85.0000,40.0000,33.0000,20.0000,62.0000,0.0000,0.0000,140.0000,1933.0000,2280.0000,50.0000,35.0000,80.0000,62.0000,80.0000,57.0000,140.0000,172.0000,80.0000,422.0000,120.0000,288.0000,670.0000,4003.0000,670.0000,425.0000,0.0000,0.0000,0.0000,0.0000,190.0000,65.0000,0.0000,0.0000,0.0000,0.0000,60.0000,34.0000,70.0000,11.0000,50.0000,15.0000,0.0000,0.0000,180.0000,262.0000,60.0000,221.0000,60.0000,209.0000,90.0000,9.0000,1370.0000,3206.0000,520.0000,1424.0000,470.0000,1248.0000,320.0000,389.0000,100.0000,80.0000,50.0000,30.0000,550.0000,360.0000,740.0000,645.0000,0.0000,0.0000,0.0000,0.0000,130.0000,112.0000,1300.0000,2660.0000
01,AL,35004,2,1280.0000,590.0000,370.0000,270.0000,630.0000,2450.0000,800.0000,0.0000,0.0000,0.0000,47683.0000,1280.0000,48168.0000,1140.0000,40323.0000,210.0000,188.0000,100.0000,181.0000,90.0000,120.0000,210.0000,113.0000,160.0000,957.0000,70.0000,127.0000,80.0000,809.0000,230.0000,3801.0000,0.0000,40.0000,110.0000,200.0000,1416.0000,40.0000,109.0000,270.0000,485.0000,40.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,136.0000,0.0000,0.0000,0.0000,0.0000,330.0000,4377.0000,13273.0000,270.0000,490.0000,50.0000,54.0000,260.0000,150.0000,330.0000,749.0000,270.0000,1529.0000,270.0000,669.0000,1240.0000,25244.0000,1240.0000,3127.0000,0.0000,0.0000,40.0000,28.0000,520.0000,499.0000,0.0000,0.0000,100.0000,51.0000,110.0000,121.0000,170.0000,32.0000,320.0000,288.0000,30.0000,8.0000,100.0000,195.0000,40.0000,134.0000,40.0000,157.0000,80.0000,16.0000,1270.0000,5463.0000,320.0000,574.0000,250.0000,475.0000,230.0000,325.0000,80.0000,77.0000,0.0000,0.0000,1020.0000,2629.0000,1090.0000,2879.0000,0.0000,0.0000,0.0000,0.0000,180.0000,255.0000,1090.0000,2827.0000
01,AL,35004,3,920.0000,280.0000,510.0000,110.0000,470.0000,2070.0000,650.0000,0.0000,0.0000,0.0000,56761.0000,920.0000,57275.0000,840.0000,47954.0000,250.0000,121.0000,110.0000,365.0000,100.0000,290.0000,290.0000,172.0000,120.0000,1183.0000,90.0000,191.0000,70.0000,942.0000,170.0000,3449.0000,0.0000,30.0000,103.0000,150.0000,2254.0000,30.0000,297.0000,280.0000,514.0000,30.0000,8.0000,0.0000,0.0000,30.0000,180.0000,20.0000,50.0000,140.0000,157.0000,30.0000,58.0000,0.0000,0.0000,410.0000,6258.0000,25156.0000,360.0000,953.0000,40.0000,58.0000,350.0000,227.0000,410.0000,1325.0000,340.0000,2049.0000,340.0000,1217.0000,910.0000,36673.0000,910.0000,5079.0000,0.0000,0.0000,0.0000,0.0000,430.0000,667.0000,50.0000,2.0000,100.0000,52.0000,80.0000,99.0000,80.0000,12.0000,310.0000,474.0000,30.0000,14.0000,90.0000,197.0000,0.0000,0.0000,0.0000,0.0000,40.0000,16.0000,910.0000,6276.0000,0.0000,0.0000,0.0000,0.0000,40.0000,45.0000,60.0000,52.0000,0.0000,0.0000,880.0000,4412.0000,890.0000,4651.0000,0.0000,0.0000,0.0000,0.0000,190.0000,357.0000,720.0000,1962.0000
01,AL,35004,4,630.0000,100.0000,490.0000,50.0000,300.0000,1650.0000,530.0000,0.0000,0.0000,0.0000,54677.0000,630.0000,55041.0000,600.0000,47176.0000,210.0000,123.0000,100.0000,171.0000,90.0000,123.0000,290.0000,204.0000,80.0000,337.0000,80.0000,189.0000,80.0000,1380.0000,140.0000,2951.0000,0.0000,40.0000,132.0000,100.0000,1927.0000,20.0000,275.0000,210.0000,364.0000,30.0000,8.0000,0.0000,0.0000,0.0000,0.0000,30.0000,116.0000,120.0000,135.0000,0.0000,0.0000,0.0000,0.0000,340.0000,5986.0000,29897.0000,310.0000,1135.0000,30.0000,57.0000,310.0000,200.0000,340.0000,1493.0000,310.0000,2018.0000,310.0000,1365.0000,630.0000,38665.0000,630.0000,5605.0000,20.0000,54.0000,0.0000,0.0000,310.0000,545.0000,0.0000,0.0000,100.0000,61.0000,70.0000,86.0000,0.0000,0.0000,250.0000,391.0000,40.0000,9.0000,50.0000,99.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,630.0000,6375.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,41.0000,0.0000,0.0000,630.0000,5060.0000,630.0000,5225.0000,0.0000,0.0000,0.0000,0.0000,130.0000,312.0000,490.0000,1454.0000
